,carat,cut,cut_ord,color,clarity,clarity_ord,price,predicted_price,pred_price_modified
11636,1.51,Premium,4,H,SI1,3,10012,9429.03,9429.03
11637,0.44,Ideal,5,G,VVS1,7,1202,2401.22,2401.22
11638,2.11,Premium,4,I,SI2,2,14615,14022.83,14022.83
11639,1,Premium,4,H,SI2,2,3920,4684.4,4684.4
11640,0.3,Premium,4,J,VS1,4,506,-296.7,0
11641,0.33,Ideal,5,I,IF,8,891,1929.79,1929.79
11642,1,Good,2,G,VS2,5,5068,5730.2,5730.2
11643,0.9,Good,2,H,SI2,2,2934,3526.9,3526.9
11644,0.41,Premium,4,H,SI1,3,876,174.73,174.73
11645,0.56,Ideal,5,I,VVS1,7,1580,3410.78,3410.78
11646,1,Good,2,H,VS1,4,4732,5276.2,5276.2
11647,1.07,Good,2,F,SI2,2,4446,4957.11,4957.11
11648,0.8,Premium,4,J,SI1,3,2016,3455.8,3455.8
11649,0.23,Very Good,3,D,SI2,2,449,-1951.71,0
11650,0.71,Ideal,5,G,SI1,3,3007,2856.73,2856.73
11651,0.32,Premium,4,F,VVS1,7,926,1233.56,1233.56
11652,0.56,Very Good,3,G,VS1,4,1819,1732.58,1732.58
11653,0.31,Very Good,3,I,SI1,3,523,-824.67,0
11654,1.5,Premium,4,J,SI1,3,7258,9344.9,9344.9
11655,0.7,Premium,4,D,VS1,4,3229,3068.5,3068.5
11656,0.5,Very Good,3,E,VS2,5,1624,1681.8,1681.8
11657,1.11,Premium,4,H,SI2,2,4973,5609.83,5609.83
11658,1.51,Very Good,3,I,VS2,5,9178,10178.93,10178.93
11659,0.3,Very Good,3,E,VS2,5,658,-0.8,0
11660,1.27,Premium,4,I,VS1,4,6532,7863.91,7863.91
11661,0.73,Premium,4,F,VS2,5,2882,3774.89,3774.89
11662,1.14,Very Good,3,E,SI2,2,5236,5704.12,5704.12
11663,0.44,Ideal,5,G,SI1,3,990,585.22,585.22
11664,0.41,Ideal,5,F,VS2,5,1107,1240.83,1240.83
11665,1.02,Very Good,3,F,SI1,3,4594,5148.56,5148.56
11666,0.31,Premium,4,F,VS2,5,625,241.43,241.43
11667,0.5,Premium,4,G,SI1,3,1286,931.9,931.9
11668,0.3,Premium,4,G,VVS2,6,684,611.3,611.3
11669,0.7,Ideal,5,F,VS1,4,3154,3226.6,3226.6
11670,1.16,Very Good,3,H,SI2,2,4455,5872.38,5872.38
11671,0.3,Very Good,3,G,VVS1,7,1013,907.2,907.2
11672,0.27,Very Good,3,E,VVS1,7,667,654.81,654.81
11673,0.9,Good,2,E,VVS1,7,7214,5796.9,5796.9
11674,0.51,Very Good,3,D,VS2,5,1599,1765.93,1765.93
11675,0.41,Very Good,3,D,SI1,3,717,16.63,16.63
11676,0.43,Ideal,5,H,VVS2,6,943,1863.09,1863.09
11677,0.3,Very Good,3,H,SI1,3,432,-908.8,0
11678,0.36,Premium,4,D,VS2,5,852,662.08,662.08
11679,1.02,Very Good,3,F,VS2,5,6597,6056.56,6056.56
11680,0.82,Ideal,5,E,SI2,2,3131,3328.16,3328.16
11681,0.31,Premium,4,I,SI1,3,408,-666.57,0
11682,0.41,Ideal,5,F,VS2,5,863,1240.83,1240.83
11683,1.5,Ideal,5,H,VS1,4,10080,9957,9957
11684,0.71,Ideal,5,D,VS2,5,3135,3764.73,3764.73
11685,1.34,Ideal,5,H,VS2,5,8771,9064.92,9064.92
11686,1.11,Ideal,5,G,SI2,2,5231,5767.93,5767.93
11687,1.29,Fair,1,F,SI2,2,4824,6649.87,6649.87
11688,0.9,Very Good,3,H,VS1,4,4455,4593,4593
11689,0.35,Premium,4,F,VS2,5,906,577.95,577.95
11690,1,Premium,4,E,SI1,3,5445,5138.4,5138.4
11691,0.42,Very Good,3,F,VS1,4,1031,554.76,554.76
11692,1.02,Very Good,3,F,VVS1,7,8990,6964.56,6964.56
11693,1.61,Premium,4,J,IF,8,10350,12540.33,12540.33
11694,1.54,Very Good,3,J,VS1,4,9285,9977.32,9977.32
11695,0.9,Very Good,3,E,SI2,2,3715,3685,3685
11696,0.51,Ideal,5,G,VS1,4,1652,1628.13,1628.13
11697,0.3,Premium,4,G,SI1,3,574,-750.7,0
11698,1.52,Good,2,H,SI1,3,9898,9196.96,9196.96
11699,0.58,Ideal,5,G,SI2,2,1343,1309.04,1309.04
11700,1.2,Premium,4,I,VS2,5,5006,7729,7729
11701,1.54,Premium,4,E,SI1,3,11795,9681.42,9681.42
11702,1.01,Ideal,5,G,VS2,5,6239,6288.63,6288.63
11703,1.2,Ideal,5,E,SI2,2,5494,6525.1,6525.1
11704,1.01,Fair,1,F,SI2,2,3597,4294.23,4294.23
11705,0.36,Very Good,3,G,SI1,3,537,-404.02,0
11706,0.36,Premium,4,E,VS2,5,1013,662.08,662.08
11707,0.7,Very Good,3,I,VVS1,7,2389,4272.4,4272.4
11708,1.53,Very Good,3,H,SI2,2,7991,8985.19,8985.19
11709,2.02,Ideal,5,J,VS1,4,15231,14331.76,14331.76
11710,1.01,Very Good,3,G,VVS2,6,7565,6426.43,6426.43
11711,2.04,Ideal,5,J,SI1,3,14130,14046.02,14046.02
11712,2.03,Very Good,3,I,VS2,5,15826,14553.69,14553.69
11713,1.03,Very Good,3,F,VS2,5,6153,6140.69,6140.69
11714,0.33,Ideal,5,D,VS2,5,1002,567.79,567.79
11715,1.35,Premium,4,I,SI1,3,6577,8082.95,8082.95
11716,1.53,Ideal,5,I,VS2,5,9189,10663.39,10663.39
11717,0.4,Very Good,3,F,VVS2,6,1049,1294.5,1294.5
11718,0.7,Good,2,D,SI2,2,2583,1844.3,1844.3
11719,0.9,Premium,4,D,SI1,3,4735,4297.1,4297.1
11720,1.35,Very Good,3,E,SI1,3,6860,7924.85,7924.85
11721,1.23,Ideal,5,J,VS2,5,5217,8139.49,8139.49
11722,1.15,Ideal,5,H,SI2,2,4315,6104.45,6104.45
11723,0.32,Ideal,5,F,VS2,5,645,483.66,483.66
11724,1.02,Ideal,5,F,SI2,2,4541,5010.76,5010.76
11725,1.52,Fair,1,H,SI1,3,8001,9038.86,9038.86
11726,0.41,Ideal,5,G,VS2,5,1061,1240.83,1240.83
11727,0.9,Fair,1,G,SI1,3,2691,3822.8,3822.8
11728,1.28,Premium,4,I,SI1,3,6093,7494.04,7494.04
11729,0.6,Premium,4,D,SI2,2,1196,1319.2,1319.2
11730,1.25,Ideal,5,J,SI1,3,5252,7399.75,7399.75
11731,1.07,Ideal,5,H,SI1,3,4830,5885.41,5885.41
11732,0.77,Ideal,5,E,SI1,3,3218,3361.51,3361.51
11733,0.79,Ideal,5,D,SI2,2,2853,3075.77,3075.77
11734,0.37,Ideal,5,H,IF,8,936,2266.31,2266.31
11735,0.31,Premium,4,D,VS2,5,636,241.43,241.43
11736,1.71,Premium,4,H,SI1,3,12338,11111.63,11111.63
11737,0.44,Very Good,3,F,SI1,3,829,269.02,269.02
11738,0.8,Very Good,3,H,SI1,3,2670,3297.7,3297.7
11739,0.7,Very Good,3,F,VS2,5,2400,3364.4,3364.4
11740,0.72,Premium,4,E,SI1,3,2666,2782.76,2782.76
11741,0.5,Fair,1,F,SI1,3,994,457.6,457.6
11742,1.3,Very Good,3,H,SI1,3,6307,7504.2,7504.2
11743,0.34,Ideal,5,I,SI1,3,459,-256.08,0
11744,0.32,Ideal,5,F,VS2,5,828,483.66,483.66
11745,0.3,Premium,4,J,VS1,4,506,-296.7,0
11746,1.21,Very Good,3,J,VS2,5,4691,7655.03,7655.03
11747,0.54,Ideal,5,D,VS1,4,2004,1880.52,1880.52
11748,1.01,Very Good,3,E,SI2,2,4355,4610.43,4610.43
11749,0.36,Ideal,5,D,VS2,5,1094,820.18,820.18
11750,1.02,Very Good,3,F,SI1,3,5058,5148.56,5148.56
11751,0.33,Premium,4,F,VS2,5,740,409.69,409.69
11752,0.34,Fair,1,F,VVS1,7,1040,927.52,927.52
11753,0.33,Premium,4,H,IF,8,1114,1771.69,1771.69
11754,0.7,Very Good,3,F,VS2,5,2400,3364.4,3364.4
11755,0.41,Good,2,G,SI1,3,671,-141.47,0
11756,2.19,Premium,4,H,SI1,3,15801,15149.87,15149.87
11757,1,Fair,1,J,VS2,5,2811,5572.1,5572.1
11758,1.02,Ideal,5,H,SI1,3,5505,5464.76,5464.76
11759,1.21,Premium,4,F,SI2,2,6092,6451.13,6451.13
11760,0.7,Very Good,3,E,SI2,2,1894,2002.4,2002.4
11761,1.2,Premium,4,H,SI2,2,5376,6367,6367
11762,0.3,Very Good,3,G,VVS1,7,789,907.2,907.2
11763,0.5,Premium,4,J,VS1,4,1035,1385.9,1385.9
11764,0.35,Ideal,5,H,SI2,2,474,-625.95,0
11765,0.51,Ideal,5,D,VS2,5,1787,2082.13,2082.13
11766,0.73,Premium,4,F,SI2,2,2309,2412.89,2412.89
11767,0.3,Ideal,5,G,IF,8,956,1677.4,1677.4
11768,0.91,Good,2,D,SI2,2,3660,3611.03,3611.03
11769,1.2,Ideal,5,F,VS2,5,8486,7887.1,7887.1
11770,1,Premium,4,E,VS2,5,6720,6046.4,6046.4
11771,2,Fair,1,H,VS1,4,14199,13531.1,13531.1
11772,0.53,Ideal,5,E,VVS2,6,2288,2704.39,2704.39
11773,0.41,Ideal,5,E,VS1,4,1153,786.83,786.83
11774,1.52,Good,2,E,I1,1,3105,8288.96,8288.96
11775,1.02,Ideal,5,G,VS1,4,6563,5918.76,5918.76
11776,2.01,Ideal,5,G,SI1,3,12829,13793.63,13793.63
11777,1.22,Very Good,3,G,IF,8,8793,9101.16,9101.16
11778,1.04,Ideal,5,G,VS2,5,6290,6541.02,6541.02
11779,0.3,Very Good,3,H,VVS2,6,533,453.2,453.2
11780,0.72,Premium,4,D,SI2,2,2155,2328.76,2328.76
11781,1.52,Fair,1,H,I1,1,4648,8130.86,8130.86
11782,0.43,Premium,4,G,VS2,5,1113,1250.99,1250.99
11783,1.07,Ideal,5,E,VS1,4,8998,6339.41,6339.41
11784,0.32,Good,2,H,VVS1,7,912,917.36,917.36
11785,0.33,Ideal,5,D,SI2,2,631,-794.21,0
11786,1.02,Ideal,5,G,VVS2,6,8847,6826.76,6826.76
11787,0.42,Ideal,5,H,VS2,5,760,1324.96,1324.96
11788,1.51,Good,2,H,SI1,3,9218,9112.83,9112.83
11789,1.31,Ideal,5,I,VS2,5,6338,8812.53,8812.53
11790,1.5,Very Good,3,E,SI2,2,8820,8732.8,8732.8
11791,0.55,Ideal,5,J,SI1,3,1059,1510.65,1510.65
11792,0.7,Premium,4,I,SI1,3,1914,2614.5,2614.5
11793,1.02,Premium,4,H,I1,1,3141,4398.66,4398.66
11794,0.92,Good,2,E,SI2,2,3153,3695.16,3695.16
11795,0.74,Good,2,F,SI2,2,2685,2180.82,2180.82
11796,1.58,Premium,4,I,VS2,5,8583,10925.94,10925.94
11797,1.41,Very Good,3,F,SI2,2,7215,7975.63,7975.63
11798,0.51,Good,2,E,VS2,5,1781,1607.83,1607.83
11799,0.58,Ideal,5,D,VVS1,7,3732,3579.04,3579.04
11800,0.51,Very Good,3,E,VS1,4,1583,1311.93,1311.93
11801,1.21,Premium,4,J,SI1,3,4770,6905.13,6905.13
11802,0.55,Ideal,5,G,VS2,5,1854,2418.65,2418.65
11803,0.3,Good,2,H,SI1,3,432,-1066.9,0
11804,0.31,Ideal,5,G,VS2,5,698,399.53,399.53
11805,0.57,Good,2,E,VVS1,7,2990,3020.61,3020.61
11806,0.71,Very Good,3,D,VS2,5,3084,3448.53,3448.53
11807,1.54,Premium,4,H,I1,1,4980,8773.42,8773.42
11808,0.3,Ideal,5,D,SI1,3,552,-592.6,0
11809,0.31,Premium,4,F,SI1,3,516,-666.57,0
11810,0.41,Ideal,5,H,IF,8,1100,2602.83,2602.83
11811,1.13,Ideal,5,F,VS2,5,7756,7298.19,7298.19
11812,0.7,Premium,4,H,VS2,5,2074,3522.5,3522.5
11813,0.33,Ideal,5,E,VS1,4,850,113.79,113.79
11814,0.63,Very Good,3,D,SI1,3,1885,1867.49,1867.49
11815,0.8,Ideal,5,E,VS2,5,3972,4521.9,4521.9
11816,0.56,Premium,4,H,VS1,4,1585,1890.68,1890.68
11817,0.72,Ideal,5,E,VS1,4,3275,3394.86,3394.86
11818,0.4,Ideal,5,G,VS2,5,1240,1156.7,1156.7
11819,0.9,Good,2,I,VS2,5,3162,4888.9,4888.9
11820,1.16,Premium,4,I,SI1,3,5002,6484.48,6484.48
11821,0.71,Very Good,3,I,VVS1,7,2549,4356.53,4356.53
11822,0.58,Very Good,3,D,VVS2,6,2714,2808.84,2808.84
11823,1.05,Fair,1,G,VS2,5,5673,5992.75,5992.75
11824,0.91,Premium,4,E,SI1,3,4434,4381.23,4381.23
11825,1.11,Very Good,3,H,SI2,2,4029,5451.73,5451.73
11826,0.38,Ideal,5,E,VVS1,7,1211,1896.44,1896.44
11827,0.26,Ideal,5,F,VVS2,6,599,432.88,432.88
11828,0.51,Ideal,5,E,VS1,4,2075,1628.13,1628.13
11829,0.54,Ideal,5,F,VS2,5,1837,2334.52,2334.52
11830,0.56,Very Good,3,G,VS1,4,1912,1732.58,1732.58
11831,1.4,Ideal,5,H,IF,8,10976,10931.7,10931.7
11832,0.8,Ideal,5,G,VVS2,6,4146,4975.9,4975.9
11833,0.33,Ideal,5,G,IF,8,1052,1929.79,1929.79
11834,0.51,Ideal,5,D,VS1,4,1873,1628.13,1628.13
11835,0.54,Ideal,5,G,SI1,3,1574,1426.52,1426.52
11836,0.41,Premium,4,E,SI1,3,775,174.73,174.73
11837,1.2,Premium,4,G,SI1,3,6586,6821,6821
11838,0.72,Very Good,3,G,VVS2,6,3449,3986.66,3986.66
11839,0.71,Very Good,3,G,SI2,2,1993,2086.53,2086.53
11840,0.32,Ideal,5,I,VS1,4,605,29.66,29.66
11841,1.51,Very Good,3,I,VS1,4,9640,9724.93,9724.93
11842,0.39,Premium,4,F,VS1,4,956,460.47,460.47
11843,0.41,Premium,4,D,SI1,3,791,174.73,174.73
11844,1,Very Good,3,H,SI1,3,4995,4980.3,4980.3
11845,0.34,Good,2,G,VVS2,6,826,631.62,631.62
11846,1.13,Ideal,5,F,SI2,2,4778,5936.19,5936.19
11847,0.9,Good,2,F,SI2,2,3210,3526.9,3526.9
11848,0.36,Ideal,5,D,SI1,3,663,-87.82,0
11849,1.52,Very Good,3,J,VS2,5,7504,10263.06,10263.06
11850,1.04,Ideal,5,F,SI1,3,5626,5633.02,5633.02
11851,0.32,Premium,4,H,VS1,4,672,-128.44,0
11852,2.5,Fair,1,F,SI2,2,17405,16829.6,16829.6
11853,0.32,Ideal,5,I,IF,8,864,1845.66,1845.66
11854,0.91,Very Good,3,E,SI1,3,4188,4223.13,4223.13
11855,1.12,Premium,4,H,SI2,2,4641,5693.96,5693.96
11856,1.14,Good,2,G,VS2,5,6681,6908.02,6908.02
11857,0.3,Premium,4,E,VS2,5,658,157.3,157.3
11858,0.39,Ideal,5,E,VS2,5,875,1072.57,1072.57
11859,1.02,Ideal,5,E,VS2,5,8225,6372.76,6372.76
11860,1.24,Very Good,3,I,SI2,2,5497,6545.42,6545.42
11861,0.38,Ideal,5,G,SI1,3,969,80.44,80.44
11862,0.9,Fair,1,H,VS2,5,3375,4730.8,4730.8
11863,1.02,Ideal,5,G,SI2,2,4890,5010.76,5010.76
11864,2.52,Fair,1,G,I1,1,10076,16543.86,16543.86
11865,1,Premium,4,F,SI1,3,5197,5138.4,5138.4
11866,0.93,Premium,4,F,SI2,2,3333,4095.49,4095.49
11867,0.32,Very Good,3,F,VS2,5,645,167.46,167.46
11868,0.5,Very Good,3,D,SI1,3,1190,773.8,773.8
11869,0.6,Fair,1,G,SI1,3,1305,1298.9,1298.9
11870,1.26,Premium,4,J,SI1,3,5080,7325.78,7325.78
11871,0.75,Very Good,3,I,VS1,4,2385,3331.05,3331.05
11872,1.74,Premium,4,J,VS2,5,8364,12272.02,12272.02
11873,0.41,Very Good,3,D,SI2,2,638,-437.37,0
11874,0.9,Fair,1,H,SI1,3,3024,3822.8,3822.8
11875,0.58,Ideal,5,G,VS1,4,1911,2217.04,2217.04
11876,1,Premium,4,F,VS1,4,7056,5592.4,5592.4
11877,0.53,Ideal,5,G,VS1,4,1721,1796.39,1796.39
11878,0.76,Ideal,5,E,SI2,2,2873,2823.38,2823.38
11879,0.61,Ideal,5,H,VS1,4,2053,2469.43,2469.43
11880,1,Fair,1,I,VS1,4,3763,5118.1,5118.1
11881,0.31,Ideal,5,E,VS1,4,942,-54.47,0
11882,0.32,Premium,4,H,VS2,5,648,325.56,325.56
11883,0.77,Good,2,D,VS2,5,3489,3795.21,3795.21
11884,0.77,Good,2,G,SI2,2,2550,2433.21,2433.21
11885,1.2,Ideal,5,H,VS2,5,7072,7887.1,7887.1
11886,0.33,Ideal,5,F,IF,8,1389,1929.79,1929.79
11887,1.41,Good,2,D,SI2,2,7501,7817.53,7817.53
11888,1.06,Ideal,5,H,SI2,2,4749,5347.28,5347.28
11889,0.73,Very Good,3,E,SI2,2,2409,2254.79,2254.79
11890,0.84,Ideal,5,I,VS2,5,3475,4858.42,4858.42
11891,0.7,Ideal,5,J,SI1,3,1926,2772.6,2772.6
11892,0.73,Ideal,5,F,VVS1,7,5154,4840.99,4840.99
11893,0.52,Ideal,5,D,VS1,4,1707,1712.26,1712.26
11894,0.77,Ideal,5,J,SI1,3,2147,3361.51,3361.51
11895,0.33,Ideal,5,D,VVS2,6,1021,1021.79,1021.79
11896,1.11,Premium,4,F,VVS2,6,9548,7425.83,7425.83
11897,0.8,Ideal,5,I,SI1,3,2927,3613.9,3613.9
11898,1.03,Premium,4,D,SI1,3,5491,5390.79,5390.79
11899,1.62,Ideal,5,H,SI2,2,8865,10058.56,10058.56
11900,1.01,Very Good,3,G,VVS2,6,6371,6426.43,6426.43
11901,1.07,Premium,4,H,SI1,3,5123,5727.31,5727.31
11902,0.43,Very Good,3,D,SI1,3,993,184.89,184.89
11903,1.05,Ideal,5,F,VS1,4,8100,6171.15,6171.15
11904,1.19,Ideal,5,J,SI1,3,4678,6894.97,6894.97
11905,0.4,Ideal,5,F,VVS2,6,1088,1610.7,1610.7
11906,0.31,Ideal,5,G,VVS1,7,789,1307.53,1307.53
11907,1.22,Premium,4,F,SI1,3,6887,6989.26,6989.26
11908,0.41,Ideal,5,F,VVS1,7,1356,2148.83,2148.83
11909,1.65,Ideal,5,D,SI2,2,10847,10310.95,10310.95
11910,0.32,Ideal,5,E,VS2,5,900,483.66,483.66
11911,1.12,Very Good,3,G,VS1,4,7687,6443.86,6443.86
11912,0.32,Premium,4,F,SI1,3,684,-582.44,0
11913,1.03,Ideal,5,D,SI1,3,5804,5548.89,5548.89
11914,0.27,Very Good,3,F,VVS1,7,544,654.81,654.81
11915,1.23,Very Good,3,H,VS2,5,6848,7823.29,7823.29
11916,0.28,Good,2,E,VS2,5,625,-327.16,0
11917,0.38,Ideal,5,G,VVS1,7,993,1896.44,1896.44
11918,0.56,Ideal,5,D,SI1,3,1723,1594.78,1594.78
11919,0.87,Ideal,5,H,SI2,2,2816,3748.81,3748.81
11920,0.4,Premium,4,D,VVS2,6,1263,1452.6,1452.6
11921,0.7,Premium,4,F,SI2,2,2213,2160.5,2160.5
11922,0.5,Premium,4,F,VS2,5,1654,1839.9,1839.9
11923,2.01,Very Good,3,F,SI1,3,13275,13477.43,13477.43
11924,1.02,Fair,1,H,I1,1,2999,3924.36,3924.36
11925,1.24,Premium,4,H,VS1,4,7358,7611.52,7611.52
11926,0.4,Ideal,5,G,VVS2,6,931,1610.7,1610.7
11927,0.33,Ideal,5,G,IF,8,984,1929.79,1929.79
11928,0.42,Premium,4,E,VS2,5,1024,1166.86,1166.86
11929,1.05,Good,2,F,SI1,3,4729,5242.85,5242.85
11930,0.55,Very Good,3,E,VS2,5,1831,2102.45,2102.45
11931,1.5,Good,2,G,VS2,5,11577,9936.7,9936.7
11932,1.15,Very Good,3,D,VS2,5,7662,7150.25,7150.25
11933,0.91,Good,2,E,SI1,3,4211,4065.03,4065.03
11934,0.5,Premium,4,E,VS2,5,1629,1839.9,1839.9
11935,1.2,Premium,4,G,VS1,4,8911,7275,7275
11936,0.56,Ideal,5,G,VS2,5,1698,2502.78,2502.78
11937,0.91,Ideal,5,H,SI2,2,3854,4085.33,4085.33
11938,0.9,Very Good,3,E,VS1,4,4449,4593,4593
11939,0.41,Good,2,F,VS2,5,749,766.53,766.53
11940,0.32,Ideal,5,H,VS2,5,648,483.66,483.66
11941,0.32,Good,2,E,SI1,3,561,-898.64,0
11942,0.3,Ideal,5,E,VS2,5,621,315.4,315.4
11943,0.7,Premium,4,F,VVS2,6,3136,3976.5,3976.5
11944,1.2,Premium,4,H,VS2,5,6500,7729,7729
11945,0.32,Ideal,5,E,VVS1,7,954,1391.66,1391.66
11946,0.31,Very Good,3,J,SI1,3,353,-824.67,0
11947,0.7,Ideal,5,G,VVS2,6,3205,4134.6,4134.6
11948,0.31,Premium,4,G,VS2,5,544,241.43,241.43
11949,0.4,Premium,4,F,VS1,4,1050,544.6,544.6
11950,0.32,Very Good,3,I,VS2,5,449,167.46,167.46
11951,0.5,Very Good,3,D,VS2,5,1632,1681.8,1681.8
11952,0.26,Ideal,5,H,VVS2,6,478,432.88,432.88
11953,0.31,Ideal,5,E,VS2,5,872,399.53,399.53
11954,0.37,Premium,4,H,VS1,4,833,292.21,292.21
11955,1.77,Ideal,5,J,VS1,4,11150,12228.51,12228.51
11956,2.03,Fair,1,G,I1,1,6377,12421.49,12421.49
11957,1.19,Ideal,5,G,VVS2,6,9403,8256.97,8256.97
11958,0.3,Ideal,5,G,VVS2,6,665,769.4,769.4
11959,0.73,Ideal,5,D,SI2,2,2683,2570.99,2570.99
11960,1.01,Ideal,5,G,VS1,4,6618,5834.63,5834.63
11961,0.41,Good,2,D,SI1,3,738,-141.47,0
11962,0.71,Premium,4,E,SI1,3,2329,2698.63,2698.63
11963,0.4,Ideal,5,H,VVS2,6,1125,1610.7,1610.7
11964,0.78,Ideal,5,D,VS2,5,3595,4353.64,4353.64
11965,1.24,Premium,4,H,SI1,3,6686,7157.52,7157.52
11966,0.85,Good,2,J,SI1,3,2278,3560.25,3560.25
11967,0.3,Ideal,5,F,VVS1,7,814,1223.4,1223.4
11968,0.31,Ideal,5,E,VS2,5,872,399.53,399.53
11969,0.7,Ideal,5,F,VVS1,7,4951,4588.6,4588.6
11970,0.57,Ideal,5,F,VS1,4,1949,2132.91,2132.91
11971,1.01,Premium,4,H,VS2,5,5190,6130.53,6130.53
11972,0.34,Ideal,5,E,VS2,5,956,651.92,651.92
11973,1.17,Good,2,D,SI2,2,3866,5798.41,5798.41
11974,1.75,Very Good,3,J,VS1,4,10681,11744.05,11744.05
11975,0.7,Premium,4,D,SI2,2,2596,2160.5,2160.5
11976,0.36,Ideal,5,I,VS1,4,587,366.18,366.18
11977,0.31,Ideal,5,H,VS2,5,489,399.53,399.53
11978,1.23,Very Good,3,G,VVS2,6,9803,8277.29,8277.29
11979,0.32,Ideal,5,D,VS2,5,758,483.66,483.66
11980,0.32,Premium,4,D,SI1,3,756,-582.44,0
11981,0.38,Ideal,5,F,VS2,5,789,988.44,988.44
11982,0.98,Very Good,3,H,SI2,2,3731,4358.04,4358.04
11983,0.71,Ideal,5,G,VS1,4,3431,3310.73,3310.73
11984,0.32,Ideal,5,G,SI2,2,407,-878.34,0
11985,1.01,Very Good,3,G,SI2,2,3852,4610.43,4610.43
11986,0.72,Ideal,5,D,VS2,5,3275,3848.86,3848.86
11987,0.54,Ideal,5,G,VVS1,7,2007,3242.52,3242.52
11988,1,Good,2,D,SI2,2,4520,4368.2,4368.2
11989,2.03,Premium,4,H,SI1,3,16900,13803.79,13803.79
11990,0.52,Ideal,5,F,SI1,3,1223,1258.26,1258.26
11991,0.3,Ideal,5,F,IF,8,873,1677.4,1677.4
11992,2.14,Very Good,3,F,SI2,2,17582,14117.12,14117.12
11993,0.25,Ideal,5,E,VVS1,7,783,802.75,802.75
11994,0.51,Ideal,5,F,VVS1,7,2726,2990.13,2990.13
11995,0.42,Very Good,3,F,SI1,3,722,100.76,100.76
11996,0.76,Ideal,5,H,VVS2,6,3249,4639.38,4639.38
11997,0.32,Ideal,5,H,VS1,4,720,29.66,29.66
11998,1.11,Good,2,J,SI1,3,3916,5747.63,5747.63
11999,0.9,Good,2,F,VS1,4,4580,4434.9,4434.9
12000,0.7,Very Good,3,H,VS2,5,2508,3364.4,3364.4
12001,0.73,Ideal,5,D,VS2,5,3528,3932.99,3932.99
12002,0.7,Fair,1,G,VS1,4,2384,2594.2,2594.2
12003,1.02,Very Good,3,H,SI2,2,4004,4694.56,4694.56
12004,0.27,Ideal,5,E,VVS2,6,622,517.01,517.01
12005,0.55,Very Good,3,E,SI2,2,1145,740.45,740.45
12006,0.7,Very Good,3,F,VS2,5,2812,3364.4,3364.4
12007,0.38,Premium,4,D,VS1,4,1067,376.34,376.34
12008,0.9,Good,2,G,SI2,2,3246,3526.9,3526.9
12009,0.71,Very Good,3,G,SI1,3,2364,2540.53,2540.53
12010,0.31,Very Good,3,F,VVS2,6,754,537.33,537.33
12011,0.55,Premium,4,G,SI2,2,1186,898.55,898.55
12012,0.73,Ideal,5,G,VS2,5,3389,3932.99,3932.99
12013,0.33,Ideal,5,H,VS1,4,579,113.79,113.79
12014,1.01,Ideal,5,F,VS1,4,7870,5834.63,5834.63
12015,1.04,Ideal,5,G,VS1,4,7457,6087.02,6087.02
12016,1.01,Very Good,3,F,VS2,5,5560,5972.43,5972.43
12017,2.04,Very Good,3,I,SI1,3,16420,13729.82,13729.82
12018,0.4,Good,2,E,SI1,3,662,-225.6,0
12019,1.08,Ideal,5,F,VS2,5,7629,6877.54,6877.54
12020,0.34,Ideal,5,D,VVS2,6,918,1105.92,1105.92
12021,1.2,Very Good,3,G,SI2,2,5116,6208.9,6208.9
12022,0.38,Ideal,5,E,VS2,5,853,988.44,988.44
12023,0.42,Premium,4,E,SI1,3,722,258.86,258.86
12024,0.53,Ideal,5,G,VS1,4,1813,1796.39,1796.39
12025,0.55,Very Good,3,E,VS1,4,1941,1648.45,1648.45
12026,0.93,Very Good,3,E,VS2,5,5616,5299.39,5299.39
12027,0.35,Ideal,5,F,VS2,5,706,736.05,736.05
12028,1.22,Premium,4,G,SI2,2,5436,6535.26,6535.26
12029,0.33,Ideal,5,G,SI1,3,631,-340.21,0
12030,1.03,Ideal,5,F,VVS2,6,9413,6910.89,6910.89
12031,0.3,Ideal,5,G,VS1,4,605,-138.6,0
12032,0.53,Good,2,F,VS1,4,1688,1322.09,1322.09
12033,1.51,Fair,1,D,SI2,2,9555,8500.73,8500.73
12034,0.91,Premium,4,H,SI1,3,3475,4381.23,4381.23
12035,0.72,Very Good,3,F,SI2,2,2126,2170.66,2170.66
12036,1.7,Good,2,E,VS2,5,15385,11619.3,11619.3
12037,0.4,Ideal,5,G,VVS1,7,1123,2064.7,2064.7
12038,0.32,Premium,4,D,VVS2,6,926,779.56,779.56
12039,0.4,Very Good,3,G,IF,8,1173,2202.5,2202.5
12040,0.27,Very Good,3,G,VVS2,6,504,200.81,200.81
12041,0.43,Good,2,E,SI1,3,739,26.79,26.79
12042,0.7,Ideal,5,I,VVS2,6,2276,4134.6,4134.6
12043,1.06,Ideal,5,I,SI2,2,3975,5347.28,5347.28
12044,1.5,Good,2,E,SI1,3,11795,9028.7,9028.7
12045,1.59,Very Good,3,D,SI2,2,10685,9489.97,9489.97
12046,1.47,Ideal,5,I,VS2,5,7284,10158.61,10158.61
12047,0.41,Ideal,5,H,VS1,4,750,786.83,786.83
12048,0.31,Ideal,5,G,IF,8,891,1761.53,1761.53
12049,1.21,Ideal,5,J,SI1,3,5341,7063.23,7063.23
